iter	Passed	Remaining
0	0	79
1	1	71
2	2	68
3	2	63
4	3	63
5	4	62
6	4	62
7	5	62
8	6	61
9	6	61
10	7	60
11	8	60
12	8	60
13	9	59
14	10	59
15	11	58
16	11	57
17	12	56
18	13	56
19	14	56
20	14	55
21	15	55
22	16	54
23	16	53
24	17	52
25	18	51
26	18	51
27	19	50
28	20	49
29	20	48
30	21	48
31	22	47
32	22	46
33	23	45
34	24	45
35	25	44
36	25	43
37	26	43
38	27	42
39	27	41
40	28	40
41	28	39
42	29	39
43	30	38
44	30	37
45	31	36
46	32	36
47	32	35
48	33	34
49	34	34
50	34	33
51	35	32
52	36	31
53	36	31
54	37	30
55	37	29
56	38	29
57	39	28
58	39	27
59	40	27
60	41	26
61	41	25
62	42	24
63	43	24
64	43	23
65	44	23
66	45	22
67	46	21
68	46	21
69	47	20
70	48	19
71	48	18
72	49	18
73	50	17
74	50	16
75	51	16
76	52	15
77	52	14
78	53	14
79	53	13
80	54	12
81	55	12
82	55	11
83	56	10
84	57	10
85	57	9
86	58	8
87	58	8
88	60	7
89	60	6
90	61	6
91	62	5
92	63	4
93	64	4
94	64	3
95	65	2
96	66	2
97	66	1
98	67	0
99	68	0
